id;latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
497;282133N;STA. CRUZ DE TENERIFE;463;C438N;CANDELARIA;;162406W
498;424426N;HUESCA;860;9207;VALLE DE HECHO, HECHO;;004502W
499;422456N;OURENSE;315;1583X;O BARCO DE VALDEORRAS;;065935W
500;282021N;STA. CRUZ DE TENERIFE;878;C466O;CITFAGRO_91_CUBO;;164740W
501;425346N;NAVARRA;635;9228J;OROZ-BETELU/OROTZ-BETELU;;011801W
502;421305N;PONTEVEDRA;560;1719;A CA?IZA;;081652W
503;415804N;GIRONA;51;0294B;LA BISBAL (D'EMPORDA 3);;030232E
504;430028N;NAVARRA;947;9228T;RONCESVALLES/ORREAGA;;011932W
505;413522N;SORIA;932;2092;BURGO DE OSMA;;030513W
506;415048N;BARCELONA;611;341;TONA (ESCOLA);;021336E
507;421225N;NAVARRA;268;9283X;CADREITA;8153;014241W
508;412752N;SEGOVIA;1135;2140A;ALDEANUEVA DE SERREZUELA;;034709W
509;432033N;BIZKAIA;45;1056K;FORUA;;024016W
510;411259N;SORIA;863;9344C;ARCOS DE JAL?N;;021735W
511;412301N;SEGOVIA;795;2192C;CU?LLAR;;041556W
512;432714N;BIZKAIA;93;1057B;MATXITXAKO;;024510W
513;405534N;TERUEL;884;9381I;CALAMOCHA;8233;011736W
514;422103N;PALENCIA;830;2374X;CARRI?N DE LOS CONDES;8068;043702W
515;431647N;BIZKAIA;177;1083B;SOPUERTA;;031007W
516;413716N;ZARAGOZA;258;9434P;ZARAGOZA, VALDESPARTERA;8159;005605W
517;404307N;SEGOVIA;1237;2471Y;SAN RAFAEL;;041243W
518;424216N;HUESCA;1850;9451F;PANTICOSA, PETROSOS;8915;001631W
519;423125N;PALENCIA;985;2568D;SANTERV?S DE LA VEGA, VILLAP?N;;045104W
520;413119N;ZARAGOZA;357;9576C;BUJARALOZ;8165;001027W
521;415123N;ZAMORA;690;2611D;VILLAF?FILA;;053533W
522;414821N;LLEIDA;435;9647X;TOR?;;012344E
523;422518N;HUESCA;610;9808X;A?NSA-SOBRARBE, LA SERRETA;;000817E
524;415629N;ZAMORA;850;2775X;VILLARDECIERVOS;8125;061647W
525;423922N;HUESCA;1905;9814I;TORLA-ORDESA, EL CEBOLLAR;8919;000728W
526;410041N;SALAMANCA;769;2916A;VITIGUDINO;8129;062616W
527;413710N;HUESCA;178;9911X;BALLOBAR;;001116E
528;420138N;OURENSE;910;2969U;A GUDI?A;;071059W
529;393446N;ILLES BALEARS;52;B103B;ANDRATX - SANT ELM;;022208E
530;400630N;TOLEDO;560;3362Y;CASTILLO DE BAYUELA;;044050W
531;393315N;ILLES BALEARS;3;B228;PALMA, PUERTO;8301;023731E
532;401719N;AVILA;630;3391;SOTILLO DE LA ADRADA;8208;043527W
533;430758N;ASTURIAS;370;1223P;LENA, RONZ?N;;054922W
534;395936N;TOLEDO;345;3427Y;OROPESA;;050652W
535;393621N;BALEARES;47;B275E;SON BONET, AEROPUERTO;8302;024224E
536;432530N;ASTURIAS;240;1279X;SALAS, CAMU?O;;061351W
537;395645N;CACERES;269;3434X;NAVALMORAL DE LA MATA;8254;053457W
538;392247N;ILLES BALEARS;113;B301;LLUCMAJOR, CAP BLANC;8308;024706E
539;433904N;LUGO;80;1347T;BURELA;;072126W
540;400108N;CUENCA;1020;4070Y;ABIA DE OBISPALIA;;022343W
541;395641N;ILLES BALEARS;43;B870C;CIUTADELLA, CALA GALDANA;;035724E
542;434710N;A CORU?A;90;1351;ESTACA DE BARES;8004;074106W
543;375139N;ALMERIA;1190;5060X;V?LEZ BLANCO - TOPARES;;021341W
544;284029N;STA. CRUZ DE TENERIFE;733;C117Z;TIJARAFE;;175612W
545;432645N;A CORU?A;343;1363X;AS PONTES;;075141W
546;373356N;SEVILLA;50;5702X;CARMONA;;054426W
547;280453N;STA. CRUZ DE TENERIFE;130;C419X;ADEJE;;164238W
548;430327N;A CORU?A;287;1399;VIMIANZO;;090249W
549;365712N;SEVILLA;105;5891X;LAS CABEZAS DE SAN JUAN;;055048W
550;281051N;STA. CRUZ DE TENERIFE;418;C428T;ARICO;;162860W
551;423838N;A CORU?A;10;1442U;BOIRO;;085332W
552;364346N;CADIZ;295;5941X;EL BOSQUE;;053044W
553;280752N;STA. CRUZ DE TENERIFE;135;C428U;CITFAGRO_01_ARICO;;162821W
554;424459N;A CORU?A;210;1476R;ROIS, CASAS DO PORTO;;084253W
555;362959N;CADIZ;2;5973;C?DIZ;8452;061528W
556;281906N;SANTA CRUZ DE TENERIFE;115;C439J;G??MAR;60018;162256W
557;425043N;LUGO;403;1521I;O P?RAMO;;072958W
558;362904N;MALAGA;2;6076X;MARBELLA, PUERTO;;045711W
559;283135N;STA. CRUZ DE TENERIFE;868;C446G;SAN CRIST?BAL DE LA LAGUNA,LLANO DE LOS LOROS;;161649W
560;421931N;OURENSE;146;1690A;OURENSE;8048;075135W
561;370126N;MALAGA;515;6100B;ANTEQUERA AYUNTAMIENTO (AUTOM?TICA THIES);;043345W
562;282658N;STA. CRUZ DE TENERIFE;650;C457E;CITFAGRO_67_MATANZA;;162617W
563;415603N;OURENSE;730;1738U;MUI?OS;;075920W
564;370160N;ALMERIA;1510;6307X;L?UJAR DE ANDARAX;;025445W
565;275915N;LAS PALMAS;344;C648N;TELDE, CENTRO FORESTAL DORAMAS;;152728W
566;420034N;PALENCIA;736;2401X;PALENCIA;;043338W
